Group,Species,Replicate,Treatment,Week,Initial_Mass,Dried_Mass,Proportion
2,Black Walnut,1,L,0,3.03,2.7,0.891089109
3,Red Maple,1,C,0,2.92,2.64,0.904109589
3,Red Maple,2,C,0,3.01,2.78,0.92358804
3,Red Maple,3,C,0,2.95,2.74,0.928813559
3,Red Maple,1,C,2,2.92,1.45,0.496575342
3,Red Maple ,2,C,2,2.95,1.37,0.46440678
3,Red Maple,3,C,2,2.97,1.55,0.521885522
3,Red Maple,1,C,4,3.03,1.9,0.627062706
3,Red Maple,2,C,4,2.99,1.8,0.602006689
3,Red Maple,3,C,4,3.03,1.3,0.429042904
3,Red Maple,1,C,6,3.04,1.34,0.440789474
3,Red Maple,2,C,6,3.04,1.33,0.4375
3,Red Maple,3,C,6,3.02,1.68,0.556291391
3,Wild Grape,1,C,0,3.03,0.5,0.165016502
3,Wild Grape,2,C,0,2.97,0.4,0.134680135
3,Wild Grape,3,C,0,3.01,0.5,0.166112957
3,Wild Grape,1,C,2,3.01,1.58,0.524916944
3,Wild Grape,2,C,2,2.91,1.15,0.395189003
3,Wild Grape,3,C,2,2.91,1.79,0.615120275
3,Wild Grape,1,C,4,3.01,0,0
3,Wild Grape,2,C,4,3.04,2.3,0.756578947
3,Wild Grape,3,C,4,3.04,0.8,0.263157895
3,Wild Grape,1,C,6,3,0,0
3,Wild Grape,2,C,6,3.06,0,0
3,Wild Grape,3,C,6,3.06,0.26,0.08496732
3,Red Maple,1,F,2,3.05,1.48,0.485245902
3,Red Maple,2,F,2,3.03,1.99,0.656765677
3,Red Maple,1,F,4,3.05,1,0.327868852
3,Red Maple,1,F,6,3.01,0.87,0.289036545
3,Red Maple,2,F,6,3.07,0.87,0.283387622
3,Wild Grape,1,F,2,2.98,1.81,0.60738255
3,Wild Grape,2,F,2,3,1.46,0.486666667
3,Wild Grape,1,F,4,3.03,1.35,0.445544554
3,Wild Grape,1,F,6,3.03,1.17,0.386138614
3,Wild Grape,2,F,6,3,0.76,0.253333333
3,Red Maple,1,L,0,3.03,2.56,0.844884488
3,Wild Grape,1,L,0,3.01,2.17,0.720930233
4,Black Walnut,1,C,0,3.01,2.6,0.863787375
4,Black Walnut,2,C,0,3,2.69,0.896666667
4,Black Walnut,3,C,0,3,2.78,0.926666667
4,Black Walnut,1,C,2,2.99,2.61,0.872909699
4,Black Walnut,2,C,2,3.01,2.56,0.850498339
4,Black Walnut,3,C,2,3,2.32,0.773333333
4,Black Walnut,1,C,4,3,1.32,0.44
4,Black Walnut,2,C,4,3.01,0.95,0.315614618
4,Black Walnut,3,C,4,2.99,1.46,0.488294314
4,Black Walnut,1,C,6,3,0.73,0.243333333
4,Black Walnut,2,C,6,3.01,0.01,0.003322259
4,Black Walnut,3,C,6,3.01,1.21,0.401993355
4,American Sycamore,1,C,0,3,2.71,0.903333333
4,American Sycamore,2,C,0,2.99,2.84,0.949832776
4,American Sycamore,3,C,0,3.01,2.68,0.890365449
4,American Sycamore,1,C,2,3,2.6,0.866666667
4,American Sycamore,2,C,2,3,2.55,0.85
4,American Sycamore,3,C,2,3.01,2.56,0.850498339
4,American Sycamore,1,C,4,3,1.61,0.536666667
4,American Sycamore,2,C,4,3,1.48,0.493333333
4,American Sycamore,3,C,4,3,1.59,0.53
4,American Sycamore,1,C,6,2.99,1.63,0.545150502
4,American Sycamore,2,C,6,3.01,1.64,0.544850498
4,American Sycamore,3,C,6,3,1.51,0.503333333
4,Black Walnut,1,F,2,3,2.54,0.846666667
4,Black Walnut,2,F,2,2.99,2.39,0.799331104
4,Black Walnut,2,F,4,3,1.46,0.486666667
4,Black Walnut,1,F,6,3,1.2,0.4
4,Black Walnut,2,F,6,3,0.79,0.263333333
4,American Sycamore,1,F,2,3,2.67,0.89
4,American Sycamore,2,F,2,3,2.8,0.933333333
4,American Sycamore,2,F,4,3.01,1.67,0.554817276
4,American Sycamore,1,F,6,3,1.46,0.486666667
4,American Sycamore,2,F,6,3,1.44,0.48
4,Black Walnut,1,L,0,3.01,2.75,0.913621262
4,American Sycamore,1,L,0,3,2.84,0.946666667
5,Eastern Cottonwood,1,C,0,3.02,2.46,0.814569536
5,Eastern Cottonwood,2,C,0,3,2.73,0.91
5,Eastern Cottonwood,3,C,0,3.03,2.82,0.930693069
5,Eastern Cottonwood,1,C,2,3,2.13,0.71
5,Eastern Cottonwood,2,C,2,3.07,2.18,0.71009772
5,Eastern Cottonwood,3,C,2,2.99,2.3,0.769230769
5,Eastern Cottonwood,1,C,4,3.05,1.73,0.567213115
5,Eastern Cottonwood,2,C,4,2.95,1.88,0.637288136
5,Eastern Cottonwood,3,C,4,3.05,1.8,0.590163934
5,Eastern Cottonwood,1,C,6,3.08,1.49,0.483766234
5,Eastern Cottonwood,2,C,6,3.07,1.77,0.576547231
5,Eastern Cottonwood,3,C,6,3.05,2.3,0.754098361
5,American Beech,1,C,0,2.93,2.33,0.795221843
5,American Beech,2,C,0,3.05,2.66,0.872131148
5,American Beech,3,C,0,2.99,2.48,0.829431438
5,American Beech,1,C,2,3,2.45,0.816666667
5,American Beech,2,C,2,3.01,2.22,0.737541528
5,American Beech,3,C,2,2.97,2.1,0.707070707
5,American Beech,1,C,4,3.01,1.87,0.621262458
5,American Beech,2,C,4,2.92,1.98,0.678082192
5,American Beech,3,C,4,2.96,2.01,0.679054054
5,American Beech,1,C,6,2.99,1.91,0.638795987
5,American Beech,2,C,6,2.97,2.11,0.71043771
5,American Beech,3,C,6,2.99,1.77,0.591973244
5,Eastern Cottonwood,1,F,2,3.09,2.22,0.718446602
5,Eastern Cottonwood,2,F,2,3.04,2.09,0.6875
5,Eastern Cottonwood,1,F,4,3.01,2.27,0.754152824
5,Eastern Cottonwood,1,F,6,2.97,1.71,0.575757576
5,Eastern Cottonwood,2,F,6,3.06,2.17,0.709150327
5,American Beech,1,F,2,3.05,1.99,0.652459016
5,American Beech,2,F,2,3.05,2.39,0.783606557
5,American Beech,1,F,4,3,2.64,0.88
5,American Beech,1,F,6,2.98,1.69,0.567114094
5,American Beech,2,F,6,2.99,1.99,0.665551839
5,American Beech,1,L,0,3.09,2.52,0.815533981
5,Eastern Cottonwood,1,L,0,3,2.42,0.806666667
6,Red Oak,1,C,0,2.93,2.77,0.945392491
6,Red Oak,2,C,0,3.01,2.82,0.936877076
6,Red Oak,3,C,0,3.07,2.65,0.863192182
6,Red Oak,1,C,2,3,1.79,0.596666667
6,Red Oak,2,C,2,2.94,2.33,0.792517007
6,Red Oak,3,C,2,3.06,2.58,0.843137255
6,Red Oak,1,C,4,3.05,2.67,0.875409836
6,Red Oak,2,C,4,2.94,2.39,0.81292517
6,Red Oak,3,C,4,3.05,2.52,0.826229508
6,Red Oak,1,C,6,3.07,1.58,0.51465798
6,Red Oak,2,C,6,2.91,1.35,0.463917526
6,Red Oak,3,C,6,2.94,1.36,0.462585034
6,Alder,1,C,0,2.93,2.39,0.815699659
6,Alder,2,C,0,2.99,2.61,0.872909699
6,Alder,3,C,0,3,2.64,0.88
6,Alder,1,C,2,2.99,2.41,0.806020067
6,Alder,2,C,2,2.96,2.4,0.810810811
6,Alder,3,C,2,3.01,2.12,0.704318937
6,Alder,1,C,4,2.98,2.37,0.795302013
6,Alder,2,C,4,2.92,2.38,0.815068493
6,Alder,3,C,4,2.98,2.1,0.704697987
6,Alder,1,C,6,3,1.16,0.386666667
6,Alder,2,C,6,2.97,1.54,0.518518519
6,Alder,3,C,6,2.97,1.39,0.468013468
6,Red Oak,1,F,2,3.08,2.88,0.935064935
6,Red Oak,2,F,2,2.98,2.55,0.855704698
6,Red Oak,1,F,4,3.08,2.73,0.886363636
6,Red Oak,1,F,6,3.02,1.58,0.523178808
6,Red Oak,2,F,6,2.98,1.57,0.526845638
6,Alder,1,F,2,2.95,2.22,0.752542373
6,Alder,2,F,2,2.93,2.64,0.901023891
6,Alder,1,F,4,2.98,2.58,0.865771812
6,Alder,1,F,6,2.96,1.31,0.442567568
6,Alder,2,F,6,2.9,1.54,0.531034483
6,Red Oak,1,L,0,3.01,2.8,0.930232558
6,Alder,1,L,0,3.05,2.45,0.803278689
7,Red Maple,1,C,0,3,2.8,0.933333333
7,Red Maple,2,C,0,3,2.9,0.966666667
7,Red Maple,3,C,0,3,3,1
7,Red Maple,1,C,2,3,2.42,0.806666667
7,Red Maple,2,C,2,3,2.3,0.766666667
7,Red Maple,3,C,2,3,2.65,0.883333333
7,Red Maple,1,C,4,3,2.03,0.676666667
7,Red Maple,2,C,4,3,2.02,0.673333333
7,Red Maple,3,C,4,3,1.72,0.573333333
7,Red Maple,1,C,6,3,1.9,0.633333333
7,Red Maple,2,C,6,3,1.9,0.633333333
7,Red Maple,3,C,6,3,2.4,0.8
7,Wild Grape,1,C,0,3,2.3,0.766666667
7,Wild Grape,2,C,0,3,2.4,0.8
7,Wild Grape,3,C,0,3,2.6,0.866666667
7,Wild Grape,1,C,2,3,0.59,0.196666667
7,Wild Grape,2,C,2,3,0.66,0.22
7,Wild Grape,3,C,2,3,0.63,0.21
7,Wild Grape,1,C,4,3,0,0
7,Wild Grape,2,C,4,3,0.25,0.083333333
7,Wild Grape,3,C,4,3,0.14,0.046666667
7,Wild Grape,1,C,6,3,0,0
7,Wild Grape,2,C,6,3,0.8,0.266666667
7,Wild Grape,3,C,6,3,0,0
7,Red Maple,1,F,2,3,2.29,0.763333333
7,Red Maple,2,F,2,3,2.58,0.86
7,Red Maple,1,F,4,3,2.13,0.71
7,Red Maple,1,F,6,3,1.8,0.6
7,Red Maple,2,F,6,3,2.1,0.7
7,Wild Grape,1,F,2,3,1.66,0.553333333
7,Wild Grape,2,F,2,3,1.44,0.48
7,Wild Grape,1,F,4,3,0.9,0.3
7,Wild Grape,1,F,6,3,0.7,0.233333333
7,Wild Grape,2,F,6,3,2.3,0.766666667
7,Red Maple,1,L,0,3,2.81,0.936666667
7,Red Maple,2,L,0,3,2.77,0.923333333
7,Red Maple,3,L,0,3,2.84,0.946666667
7,Wild Grape,1,L,0,3,2.51,0.836666667
7,Wild Grape,2,L,0,3,2.27,0.756666667
7,Wild Grape,3,L,0,3,2.46,0.82
8,Black Walnut,1,C,0,3.04,2.18,0.717105263
8,Black Walnut,2,C,0,3.51,2.99,0.851851852
8,Black Walnut,3,C,0,2.91,2.51,0.862542955
8,Black Walnut,1,C,2,2.92,2.53,0.866438356
8,Black Walnut,2,C,2,3.01,1.73,0.574750831
8,Black Walnut,3,C,2,2.97,3.07,1.033670034
8,Black Walnut,1,C,4,3.01,1.09,0.362126246
8,Black Walnut,2,C,4,2.98,2.26,0.758389262
8,Black Walnut,3,C,4,3.07,0.99,0.32247557
8,Black Walnut,1,C,6,2.94,0.05,0.017006803
8,Black Walnut,2,C,6,2.96,0.23,0.077702703
8,Black Walnut,3,C,6,3.03,0.68,0.224422442
8,American Sycamore,1,C,0,3.08,2.69,0.873376623
8,American Sycamore,2,C,0,3.01,2.57,0.853820598
8,American Sycamore,3,C,0,2.91,2.33,0.800687285
8,American Sycamore,1,C,2,2.91,2.69,0.924398625
8,American Sycamore,2,C,2,3.05,2.53,0.829508197
8,American Sycamore,3,C,2,2.97,2.95,0.993265993
8,American Sycamore,1,C,4,3.05,2.58,0.845901639
8,American Sycamore,2,C,4,2.95,3.06,1.037288136
8,American Sycamore,3,C,4,3.07,2.93,0.954397394
8,American Sycamore,1,C,6,2.99,2.2,0.735785953
8,American Sycamore,2,C,6,3.07,2.21,0.719869707
8,American Sycamore,3,C,6,3.03,2.22,0.732673267
8,Black Walnut,1,F,2,2.97,2.29,0.771043771
8,Black Walnut,2,F,2,2.97,2.36,0.794612795
8,Black Walnut,1,F,4,3.01,2.05,0.681063123
8,Black Walnut,1,F,6,3,1.32,0.44
8,Black Walnut,2,F,6,3.02,1.52,0.503311258
8,American Sycamore,1,F,2,2.99,2.36,0.789297659
8,American Sycamore,2,F,2,2.95,2.53,0.857627119
8,American Sycamore,1,F,4,2.93,2.55,0.870307167
8,American Sycamore,1,F,6,3,2.17,0.723333333
8,American Sycamore,2,F,6,3.03,2.35,0.775577558
8,American Sycamore,1,L,0,3.06,2.65,0.866013072
8,Black Walnut,1,L,0,3.09,2.71,0.877022654
8,Black Walnut,2,L,0,3,2.59,0.863333333
8,American Sycamore,2,L,0,3.07,2.72,0.885993485
8,Black Walnut,3,L,0,3.02,2.72,0.900662252
8,American Sycamore,3,L,0,2.97,2.73,0.919191919
9,Alder,1,C,0,2.99,2.79,0.933110368
9,Alder,2,C,0,3.01,2.83,0.940199336
9,Alder,3,C,0,3.01,2.85,0.946843854
9,Alder,1,C,2,2.99,2.02,0.675585284
9,Alder,2,C,2,3.02,2.2,0.728476821
9,Alder,3,C,2,2.99,1.66,0.555183946
9,Alder,1,C,4,2.99,2.07,0.692307692
9,Alder,2,C,4,3.02,1.69,0.559602649
9,Alder,3,C,4,3.02,1.44,0.476821192
9,Alder,2,C,6,3,0.82,0.273333333
9,Alder,3,C,6,3.03,1.6,0.528052805
9,Red Oak,1,C,0,2.99,2.87,0.959866221
9,Red Oak,2,C,0,3.02,2.87,0.950331126
9,Red Oak,3,C,0,3,2.88,0.96
9,Red Oak,1,C,2,2.99,2.58,0.862876254
9,Red Oak,2,C,2,3,2.54,0.846666667
9,Red Oak,3,C,2,3,2.45,0.816666667
9,Red Oak,1,C,4,3.03,2.47,0.815181518
9,Red Oak,2,C,4,3,2.39,0.796666667
9,Red Oak,3,C,4,3,2.81,0.936666667
9,Red Oak,1,C,6,2.93,1.86,0.634812287
9,Red Oak,2,C,6,2.96,2.05,0.692567568
9,Red Oak,3,C,6,3.02,2.05,0.678807947
9,Alder,1,F,2,2.96,2.19,0.739864865
9,Alder,2,F,2,2.95,2.04,0.691525424
9,Alder,1,F,4,3.01,1.87,0.621262458
9,Alder,1,F,6,3.03,1.74,0.574257426
9,Alder,2,F,6,3.01,1.65,0.548172757
9,Red Oak ,1,F,2,3,2.64,0.88
9,Red Oak ,2,F,2,2.99,2.45,0.819397993
9,Red Oak ,1,F,4,3.03,2.27,0.749174917
9,Red Oak ,1,F,6,2.97,1.95,0.656565657
9,Red Oak ,2,F,6,3.04,2,0.657894737
9,Alder,1,L,0,3,2.39,0.796666667
9,Alder,2,L,0,2.98,2.28,0.765100671
9,Alder,3,L,0,2.99,2.31,0.772575251
9,Red Oak,1,L,0,3.01,2.69,0.893687708
9,Red Oak,2,L,0,2.95,2.66,0.901694915
9,Red Oak,3,L,0,3,2.63,0.876666667
10,American Beech,1,C,0,3.08,2.51,0.814935065
10,American Beech,2,C,0,2.97,2.68,0.902356902
10,American Beech,3,C,0,3.04,2.86,0.940789474
10,American Beech,1,C,2,3.02,2.64,0.874172185
10,American Beech,2,C,2,3.02,1.66,0.549668874
10,American Beech,3,C,2,2.91,2.86,0.982817869
10,American Beech,1,C,4,2.97,2.27,0.764309764
10,American Beech,2,C,4,3,2.96,0.986666667
10,American Beech,3,C,4,3.01,2.33,0.774086379
10,American Beech,1,C,6,3.04,2.34,0.769736842
10,American Beech,2,C,6,3,1.59,0.53
10,American Beech,3,C,6,3.04,2.63,0.865131579
10,Eastern Cottonwood,2,C,2,2.98,1.62,0.543624161
10,Eastern Cottonwood,3,C,2,3.03,1.93,0.636963696
10,Eastern Cottonwood,1,C,4,3.05,1.08,0.354098361
10,Eastern Cottonwood,2,C,4,3,2.63,0.876666667
10,Eastern Cottonwood,3,C,4,2.97,1.92,0.646464646
10,Eastern Cottonwood,1,C,6,3.09,1.49,0.482200647
10,Eastern Cottonwood,2,C,6,3.02,1.25,0.413907285
10,Eastern Cottonwood,3,C,6,3.05,1.47,0.481967213
10,Eastern Cottonwood ,1,C,0,2.98,2.83,0.94966443
10,Eastern Cottonwood ,2,C,0,3.02,2.88,0.953642384
10,Eastern Cottonwood ,3,C,0,3.05,2.24,0.73442623
10,Eastern Cottonwood,1,C,2,3.07,1.98,0.64495114
10,American Beech,1,F,2,3.01,2.56,0.850498339
10,American Beech,2,F,2,3.02,2.15,0.71192053
10,American Beech,1,F,4,3,2.21,0.736666667
10,American Beech,2,F,6,3.01,1.73,0.574750831
10,American Beech ,1,F,6,3.06,1.62,0.529411765
10,Eastern Cottonwood,1,F,2,3.05,2.3,0.754098361
10,Eastern Cottonwood,2,F,2,3.04,2.03,0.667763158
10,Eastern Cottonwood,1,F,4,2.98,1.87,0.627516779
10,Eastern Cottonwood,1,F,6,2.97,1.71,0.575757576
10,Eastern Cottonwood,2,F,6,3.02,1.85,0.612582781
10,American Beech,1,L,0,2.95,2.76,0.93559322
10,American Beech,2,L,0,3.07,2.69,0.876221498
10,American Beech,3,L,0,2.99,2.51,0.839464883
10,Eastern Cottonwood,1,L,0,3.03,2.28,0.752475248
10,Eastern Cottonwood,2,L,0,3.03,2.26,0.745874587
10,Eastern Cottonwood,3,L,0,2.99,2.24,0.74916388
11,American Beech,1,C,0,3,2.43,0.81
11,American Beech,2,C,0,2.98,2.6,0.872483221
11,American Beech,3,C,0,3.04,2.84,0.934210526
11,American Beech,1,C,2,3,2.68,0.893333333
11,American Beech,2,C,2,3.01,2.23,0.740863787
11,American Beech,3,C,2,2.95,2.41,0.816949153
11,American Beech,1,C,4,3.01,2.2,0.73089701
11,American Beech,2,C,4,3.02,2.3,0.761589404
11,American Beech,3,C,4,3.04,2.3,0.756578947
11,American Beech,1,C,6,3.06,1.62,0.529411765
11,American Beech,2,C,6,3.02,1.8,0.59602649
11,American Beech,3,C,6,2.97,1.22,0.410774411
11,Eastern Cottonwood,1,C,0,3.03,2.4,0.792079208
11,Eastern Cottonwood,2,C,0,2.94,2.84,0.965986395
11,Eastern Cottonwood,3,C,0,3.05,2.25,0.737704918
11,Eastern Cottonwood,1,C,2,3.06,2.54,0.830065359
11,Eastern Cottonwood,2,C,2,2.96,2.48,0.837837838
11,Eastern Cottonwood,3,C,2,3,2.09,0.696666667
11,Eastern Cottonwood,1,C,4,3,2.1,0.7
11,Eastern Cottonwood,2,C,4,2.93,1.8,0.614334471
11,Eastern Cottonwood,3,C,4,2.96,1.7,0.574324324
11,Eastern Cottonwood,1,C,6,3,1.02,0.34
11,Eastern Cottonwood,2,C,6,2.97,1.17,0.393939394
11,Eastern Cottonwood,3,C,6,2.94,0.94,0.319727891
11,American Beech,1,F,2,2.93,2.61,0.890784983
11,American Beech,2,F,2,3,2.6,0.866666667
11,American Beech,1,F,4,3,2.7,0.9
11,American Beech,1,F,6,2.98,1.68,0.563758389
11,American Beech,2,F,6,2.98,1.72,0.577181208
11,Eastern Cottonwood,1,F,2,2.95,2.67,0.905084746
11,Eastern Cottonwood,2,F,2,2.95,2.54,0.861016949
11,Eastern Cottonwood,1,F,4,3.04,2,0.657894737
11,Eastern Cottonwood,1,F,6,2.95,1.3,0.440677966
11,Eastern Cottonwood,2,F,6,3.06,1.18,0.385620915
11,American Beech,1,L,0,3.01,2.63,0.873754153
11,American Beech,2,L,0,3.01,2.71,0.900332226
11,American Beech,3,L,0,3.01,2.68,0.890365449
11,Eastern Cottonwood,1,L,0,3,2.26,0.753333333
11,Eastern Cottonwood,2,L,0,3,2.28,0.76
11,Eastern Cottonwood,3,L,0,3,2.35,0.783333333
12,Red Oak,1,C,0,3.04,2.91,0.957236842
12,Red Oak,2,C,0,2.99,2.84,0.949832776
12,Red Oak,3,C,0,3.04,2.82,0.927631579
12,Red Oak,1,C,2,3,2.61,0.87
12,Red Oak,2,C,2,3,2.36,0.786666667
12,Red Oak,3,C,2,3,2.45,0.816666667
12,Red Oak,1,C,4,3.01,2.19,0.727574751
12,Red Oak,2,C,4,2.99,2.28,0.762541806
12,Red Oak,3,C,4,2.98,2.34,0.785234899
12,Red Oak,1,C,6,3,1.47,0.49
12,Red Oak,2,C,6,2.98,1.3,0.436241611
12,Red Oak,3,C,6,3,1.35,0.45
12,Alder,1,C,0,2.99,2.71,0.906354515
12,Alder,2,C,0,3,2.81,0.936666667
12,Alder,3,C,0,3.05,3.06,1.003278689
12,Alder,1,C,2,3,2.29,0.763333333
12,Alder,2,C,2,3.04,2.06,0.677631579
12,Alder,3,C,2,3.07,2.36,0.768729642
12,Alder,1,C,4,3.03,1.67,0.551155116
12,Alder,2,C,4,2.98,2.31,0.775167785
12,Alder,3,C,4,3,1.73,0.576666667
12,Alder,1,C,6,3,1.28,0.426666667
12,Alder,2,C,6,3,1.21,0.403333333
12,Alder,3,C,6,3.03,1.27,0.419141914
12,Red Oak,1,F,2,2.95,2.38,0.806779661
12,Red Oak,2,F,2,2.94,2.4,0.816326531
12,Red Oak,1,F,4,2.96,2.3,0.777027027
12,Red Oak,1,F,6,3,1.4,0.466666667
12,Red Oak,2,F,6,3.02,2.61,0.864238411
12,Alder,1,F,2,3.04,2.43,0.799342105
12,Alder,2,F,2,3.05,2.52,0.826229508
12,Alder,1,F,4,3.06,2.2,0.718954248
12,Alder,1,F,6,3.01,1.69,0.561461794
12,Alder,2,F,6,2.95,1.91,0.647457627
12,Red Oak,1,L,0,2.97,2.62,0.882154882
12,Red Oak,2,L,0,3.02,2.92,0.966887417
12,Red Oak,3,L,0,2.97,3.04,1.023569024
12,Alder,1,L,0,3,2.42,0.806666667
12,Alder,2,L,0,2.95,2.41,0.816949153
12,Alder,3,L,0,3.02,2.49,0.824503311
